Healthy	Unhealthy	Background
86,146,60	210,201,124	86,118,179
83,142,62	209,200,123	93,127,190
89,146,69	197,193,94	86,122,184
88,145,68	197,192,98	67,114,184
83,144,74	197,192,100	72,119,189
79,141,66	189,179,128	75,122,194
72,136,58	186,177,120	73,119,194
95,152,75	186,175,119	67,113,190
88,146,70	177,163,98	45,85,172
94,150,77	177,164,96	44,86,170
84,146,61	174,164,93	45,87,171
78,141,52	218,203,144	45,86,168
74,139,47	217,204,149	44,85,165
64,127,38	217,204,151	28,58,144
59,122,33	180,170,98	30,61,144
54,117,26	180,171,96	33,61,144
63,129,39	182,171,92	32,61,141
65,129,42	194,187,119	30,57,136
71,135,51	194,185,120	38,70,145
97,148,82	189,178,112	37,69,142
99,147,85	159,159,45	39,67,140
100,150,87	159,159,45	43,70,139
74,132,45	160,158,47	43,67,137
71,131,43	201,186,85	85,117,176
68,128,40	199,184,81	83,115,174
60,121,41	199,184,81	88,122,183
66,127,49	188,172,95	104,138,199
72,129,52	189,172,94	98,134,196
84,146,73	189,172,92	73,120,192
80,142,67	175,182,79	71,118,190
74,139,59	178,186,85	69,116,188
92,149,72	181,188,92	68,114,189
91,149,73	172,157,88	64,110,187
94,150,77	176,161,92	43,81,166
81,143,58	176,161,92	42,83,165
77,140,51	181,171,102	44,87,166
75,140,48	182,172,101	44,85,165
64,127,38	184,172,98	41,82,164
60,123,34	190,183,115	72,105,174
56,119,28	190,181,114	78,111,178
67,133,45	188,177,111	97,128,192
62,126,40	160,160,46	95,125,185
66,128,45	160,160,46	82,113,177
96,148,82	160,160,46	61,101,171
97,150,82	193,178,77	59,97,172
94,149,82	193,178,75	55,94,171
76,136,48	196,181,78	49,86,166
73,133,45	188,172,95	42,79,160
70,130,42	188,171,93	39,62,132
60,121,41	188,171,91	36,58,131
65,126,48	178,184,86	35,59,131
72,129,52	180,187,91	32,56,130
83,145,70	182,189,94	28,52,126
80,143,64	170,155,86	42,80,163
76,141,59	174,159,90	41,78,159
95,152,73	176,161,92	40,75,157
93,151,74	180,173,105	44,76,159
95,151,76	180,173,105	42,81,160
81,143,58	181,173,101	63,92,160
78,143,53	186,179,107	66,90,160
77,142,50	186,178,106	70,93,161
62,123,30	185,177,105	73,96,163
61,122,29	162,162,52	72,95,162
56,120,26	161,161,47	69,102,171
72,136,49	160,160,46	82,115,182
62,126,39	186,172,67	104,136,197
62,126,39	189,175,70	110,141,198
95,147,81	194,180,75	95,126,190
95,148,80	184,172,90	60,100,170
91,146,79	188,173,90	61,99,174
78,138,50	188,173,88	55,94,171
75,135,47	185,192,99	49,86,166
71,131,43	188,195,102	41,78,159
61,122,42	187,194,101	37,59,132
65,126,48	173,156,84	36,58,131
73,130,53	174,160,89	36,60,132
74,135,57	176,162,91	34,58,132
74,133,51	183,161,101	30,54,128
75,133,56	182,160,100	39,77,160
57,112,31	177,157,98	39,75,159
58,112,34	149,137,99	40,75,159
58,112,36	147,138,99	44,76,161
65,130,40	146,137,98	40,78,161
62,127,35	135,114,71	64,93,163
59,126,33	132,111,68	66,90,160
77,137,63	131,110,65	69,92,160
76,136,62	180,167,112	71,94,161
75,136,59	178,166,106	67,90,158
65,132,29	175,164,100	65,100,168
63,129,29	113,92,75	76,111,177
64,130,30	120,93,74	86,120,181
97,155,71	123,95,74	86,121,177
91,155,68	97,78,63	79,113,177
93,156,67	100,80,69	68,109,175
81,144,40	105,85,76	66,104,175
82,143,40	196,177,109	57,96,173
83,144,41	193,174,106	48,85,165
74,135,57	192,173,107	40,76,160
74,133,53	198,181,138	39,58,134
74,132,55	196,181,138	39,58,134
60,115,34	196,181,138	37,59,132
61,115,37	180,158,98	37,61,133
61,115,39	179,157,97	35,59,131
67,132,42	175,155,96	39,77,160
63,128,36	146,134,94	38,76,161
58,125,32	146,134,94	40,74,161
79,139,65	146,134,94	40,75,159
76,137,60	133,112,69	39,77,160
74,136,59	131,110,67	65,94,160
64,129,29	129,108,63	63,92,158
62,127,27	174,162,104	65,92,159
63,128,28	174,162,102	65,92,159
96,153,72	169,158,94	59,86,153
92,154,69	111,90,73	65,100,168
92,154,68	115,88,69	66,101,167
84,145,42	123,95,74	71,105,168
84,145,42	97,78,63	69,104,162
84,145,42	97,77,66	62,95,162
72,133,56	100,80,71	77,118,184
73,131,54	195,178,109	71,109,180
77,135,58	191,174,105	56,95,172
62,117,36	191,172,104	50,87,167
63,117,39	194,177,134	42,78,162
65,117,42	192,177,134	40,59,136
63,129,39	194,179,136	38,57,133
60,127,34	178,157,94	38,60,133
56,126,30	176,155,92	41,65,137
81,141,67	174,154,93	39,63,135
76,137,60	146,131,92	38,76,159
73,135,58	146,132,93	38,76,161
63,128,28	145,131,92	41,75,162
61,126,26	134,115,72	40,75,159
61,126,26	134,117,74	37,75,160
90,147,66	135,118,74	67,96,162
90,152,67	166,155,93	64,93,159
92,152,66	172,161,97	64,91,158
87,148,45	175,164,102	63,90,157
87,145,43	103,84,67	56,83,152
85,146,43	112,85,64	68,106,171
85,142,61	121,93,71	66,105,172
84,143,61	98,79,62	66,104,167
82,144,61	94,75,61	63,101,163
65,135,37	93,73,64	54,92,157
64,134,38	194,176,110	90,130,199
66,133,36	191,174,105	73,111,182
83,150,55	189,170,102	56,98,174
83,150,55	189,171,131	47,86,165
84,151,56	190,172,132	41,77,161
85,143,58	194,176,136	46,65,142
84,139,55	194,194,62	41,60,136
84,139,55	198,199,63	39,61,134
73,141,42	197,198,60	44,66,139
76,144,45	203,199,63	43,65,138
73,143,45	200,196,60	38,78,163
69,142,37	200,197,64	37,77,162
70,142,42	178,183,83	38,76,161
71,143,41	179,184,84	35,71,157
86,143,62	179,184,82	34,70,158
83,142,60	179,187,88	70,99,165
81,143,60	176,184,83	67,96,162
66,136,38	175,183,82	64,93,161
65,135,39	167,169,85	61,92,159
66,133,36	170,170,84	54,84,154
80,147,54	176,175,92	43,83,134
81,148,53	196,186,91	44,84,136
81,148,53	197,184,88	47,87,138
80,138,51	196,183,87	48,88,139
81,139,54	202,179,129	53,91,140
86,141,57	200,177,125	60,88,162
74,140,40	205,182,130	60,89,167
76,144,45	195,166,126	62,91,169
75,143,44	197,167,129	58,89,169
70,140,42	197,169,130	51,82,165
72,142,46	192,192,58	44,78,142
73,143,45	198,199,63	41,72,137
89,146,65	198,199,61	43,74,141
83,144,64	203,200,61	44,73,141
81,143,60	201,197,61	36,69,138
66,136,40	198,195,62	69,101,178
66,136,40	178,183,81	58,89,169
64,134,36	178,183,81	51,82,164
80,147,52	179,184,82	49,76,163
81,148,53	182,190,91	44,71,160
80,147,52	179,187,86	47,77,149
79,137,50	178,186,85	48,80,153
80,138,53	165,167,83	45,79,153
86,141,57	170,170,84	43,76,155
76,142,42	177,176,93	41,72,154
75,143,44	198,185,93	43,83,134
74,142,43	198,185,91	42,82,134
71,140,47	197,184,90	44,84,136
73,142,51	201,178,126	44,84,136
75,144,51	199,176,124	47,84,136
91,146,62	208,185,133	74,102,175
89,148,56	196,164,125	78,106,180
84,147,56	198,166,127	73,102,178
97,154,77	196,167,127	62,94,171
87,149,63	191,191,57	56,87,170
73,140,45	196,197,61	50,83,152
62,133,37	198,199,63	46,76,146
60,131,35	203,200,61	46,76,148
63,133,37	201,197,61	45,73,146
62,133,37	199,196,63	39,71,144
65,136,42	177,182,80	73,105,182
72,143,49	176,181,79	64,95,175
70,134,50	176,181,79	57,88,170
70,134,50	183,190,95	54,81,168
72,136,50	182,189,93	49,76,165
66,131,41	180,188,89	50,80,152
65,128,37	167,166,83	54,86,159
60,123,32	173,173,87	50,84,158
62,128,38	179,179,93	45,78,155
63,127,40	197,183,94	41,72,152
65,127,42	198,185,93	45,85,134
84,144,54	198,185,93	43,83,134
82,146,50	202,179,127	39,80,132
79,145,48	201,178,126	39,80,132
92,151,71	211,188,136	44,84,136
83,147,60	194,162,123	84,113,179
72,139,44	196,164,125	86,115,181
65,134,41	196,167,127	83,113,185
63,132,39	175,171,80	68,100,175
64,133,40	174,170,83	60,93,172
60,131,35	174,168,80	55,90,158
63,134,40	212,196,170	54,89,157
72,143,49	210,194,168	51,84,155
68,133,49	210,193,167	48,78,150
68,134,47	166,163,92	39,73,147
71,137,50	165,160,94	73,107,179
70,133,44	166,158,95	63,97,171
65,128,39	150,156,46	57,90,169
63,126,35	150,158,47	55,86,168
62,128,38	148,156,45	51,78,165
62,126,39	164,165,46	59,88,158
65,127,42	163,163,39	69,102,171
86,146,56	163,164,37	67,100,171
79,143,47	167,149,75	55,87,162
78,144,47	168,150,76	52,81,159
93,152,72	170,152,78	45,85,134
83,147,60	92,69,28	44,84,135
72,139,44	90,69,26	40,80,132
69,138,45	90,69,26	37,77,129
68,137,44	178,174,85	40,80,132
67,136,43	179,175,88	84,114,178
60,131,35	177,171,85	83,113,175
60,134,37	212,196,171	78,108,178
67,141,44	212,196,170	69,101,174
69,134,50	211,195,170	62,95,174
69,135,48	164,161,90	65,99,171
69,135,48	166,161,95	70,104,176
71,134,45	169,160,101	58,90,165
71,131,43	147,154,42	47,76,152
68,128,38	146,155,40	39,72,149
62,128,38	144,153,38	64,98,172
61,126,36	164,165,46	59,93,167
62,126,39	162,162,38	58,91,170
82,144,43	164,165,38	59,90,172
83,145,44	167,149,75	56,84,168
85,145,45	169,151,77	64,93,163
84,149,59	170,150,77	72,105,174
83,149,59	93,70,29	68,101,172
81,150,59	92,69,28	60,93,164
107,169,94	90,68,27	64,94,167
102,163,86	178,177,87	46,86,137
102,160,83	180,175,91	45,85,137
92,153,83	179,173,87	43,83,135
93,155,80	211,195,170	39,79,130
93,156,77	213,197,171	41,78,130
84,141,62	213,197,172	81,111,171
80,137,56	161,159,84	88,117,177
80,137,58	164,159,95	76,107,172
80,141,46	169,160,101	72,105,176
75,137,40	144,151,39	65,98,175
72,137,35	142,151,36	60,97,168
110,164,76	141,150,35	60,97,168
100,159,67	161,163,40	50,84,158
89,153,57	162,164,39	43,75,150
78,140,39	161,163,38	36,67,147
80,142,41	166,148,74	54,92,165
83,143,43	168,150,76	53,91,166
77,142,52	169,149,76	54,90,168
77,143,53	93,70,29	59,92,171
76,145,54	92,69,28	63,91,174
109,171,98	92,69,28	72,101,171
109,169,95	176,166,81	62,95,166
104,162,86	175,164,75	61,94,163
88,149,79	171,156,71	65,98,165
90,152,77	172,158,83	83,112,178
95,158,79	178,166,90	75,95,148
85,142,61	184,173,94	71,90,146
79,137,52	182,165,96	90,113,167
77,134,53	183,168,99	119,142,194
84,143,49	188,173,104	119,142,192
82,143,48	202,178,130	71,101,173
81,143,44	203,180,130	66,96,169
107,162,71	203,180,128	67,97,169
99,158,66	176,164,80	64,94,164
92,153,60	173,161,75	59,91,164
75,140,36	172,157,72	78,111,164
76,141,39	179,168,89	72,108,158
79,141,40	182,171,91	65,103,152
77,140,51	187,176,96	57,95,144
75,141,51	181,163,91	53,91,140
73,142,51	183,164,95	54,87,132
102,162,90	181,167,96	58,90,129
108,166,92	199,175,127	65,95,129
102,160,84	199,175,127	64,98,126
86,150,76	201,177,129	61,97,123
86,150,72	174,162,78	63,100,168
91,154,73	172,160,74	69,108,175
83,140,59	176,161,78	65,104,171
78,136,51	186,174,98	62,101,166
75,132,51	186,175,96	75,113,175
89,148,56	188,177,97	46,91,159
91,152,59	180,161,85	44,88,161
86,148,51	181,163,89	52,94,168
101,160,66	180,163,91	54,93,168
101,157,66	196,169,124	54,92,167
97,156,64	195,168,123	63,84,141
109,161,89	197,173,125	67,88,143
105,157,85	141,156,61	90,113,165
95,147,75	148,163,72	116,139,189
104,158,82	158,172,84	108,131,181
105,159,83	125,108,92	74,103,173
101,158,81	125,108,92	73,101,174
82,137,56	122,104,90	71,101,171
82,137,56	166,176,80	66,97,164
81,138,57	164,174,75	63,96,167
97,155,71	163,173,74	82,115,166
95,153,69	143,160,58	77,113,161
93,148,67	148,163,68	68,106,153
100,155,64	156,171,80	60,98,145
102,156,70	132,115,97	51,89,136
104,158,74	132,115,99	62,94,141
77,141,47	125,107,93	64,96,137
75,139,45	167,177,80	66,98,136
70,136,39	167,178,76	63,98,130
74,132,47	171,179,78	60,97,126
76,136,48	225,216,139	63,103,172
76,136,46	227,218,141	66,106,175
107,159,87	226,218,143	62,102,172
103,155,83	188,194,122	64,103,172
97,149,77	188,191,114	68,107,172
102,156,81	192,193,117	47,91,164
102,156,81	118,134,36	44,88,163
99,155,80	113,131,32	51,93,167
81,138,57	111,129,29	54,93,168
81,138,59	123,150,37	55,93,168
80,137,56	124,152,39	76,97,154
96,154,70	124,152,39	79,100,157
98,153,70	156,167,65	83,106,160
92,150,66	158,168,69	83,109,158
99,154,63	158,168,72	88,115,162
103,157,71	231,220,141	81,110,176
108,162,78	231,222,145	74,103,171
83,147,53	230,221,146	74,103,171
76,140,46	184,188,112	80,109,175
70,136,39	185,186,108	75,106,173
71,131,41	183,185,102	87,120,165
76,136,46	117,131,34	86,120,165
77,140,49	115,131,32	77,114,156
105,158,86	116,132,33	76,113,155
100,153,81	125,150,33	60,99,142
100,151,82	124,151,36	68,100,147
99,152,80	124,151,36	73,106,149
98,151,79	159,170,68	67,101,139
97,153,80	161,171,74	64,100,134
78,135,54	161,171,75	58,97,130
80,137,58	230,219,140	61,104,173
81,138,59	227,218,141	60,105,173
97,155,71	227,218,143	58,102,173
99,154,71	175,178,101	57,99,171
94,152,68	180,182,99	58,98,168
98,152,64	178,180,96	51,95,168
101,153,68	118,132,37	48,92,167
108,160,77	118,132,35	50,92,166
83,148,56	119,133,36	53,93,165
77,142,48	123,148,31	52,94,170
73,138,44	123,150,35	81,101,160
72,132,42	123,150,35	90,110,169
75,135,45	160,170,71	82,104,161
76,139,48	161,171,72	68,94,145
110,166,77	160,170,73	69,95,144
109,164,73	216,202,114	79,107,170
106,159,71	217,201,116	79,107,172
95,148,80	217,200,120	82,111,177
95,148,78	165,165,51	94,124,188
89,145,72	168,166,53	91,122,187
74,129,48	167,165,52	94,127,170
69,127,43	175,178,99	87,122,162
68,127,43	178,181,94	95,133,172
53,115,29	175,178,89	92,130,169
54,116,30	196,181,62	80,119,160
58,121,32	195,180,61	72,104,151
53,111,26	196,179,63	78,111,154
54,112,25	187,177,88	69,104,146
54,112,27	185,179,93	62,100,137
93,140,70	187,181,97	58,98,134
103,148,79	216,200,112	53,97,170
107,152,85	217,201,114	54,98,171
67,127,29	216,200,115	52,96,171
69,129,31	160,164,44	50,92,168
67,129,30	158,161,44	54,96,170
107,163,76	159,162,45	52,96,171
104,159,68	171,176,92	52,96,171
102,155,67	174,177,88	52,94,168
102,155,87	175,176,83	56,96,168
99,155,84	199,184,67	53,95,171
92,148,75	200,183,67	83,105,163
74,129,48	199,182,66	93,115,173
69,127,43	189,179,94	78,103,160
67,126,42	187,179,94	60,86,143
53,115,29	187,179,96	62,89,144
54,116,30	214,199,108	83,109,166
57,120,31	216,199,111	79,108,168
52,112,22	215,197,111	90,120,182
52,112,22	158,162,42	97,127,189
51,114,23	159,162,45	101,133,194
95,141,76	162,165,48	90,122,161
103,148,83	160,166,76	94,128,166
106,151,86	167,168,75	117,153,189
67,127,29	168,169,75	107,143,179
69,129,31	200,185,70	85,123,160
68,130,31	203,186,72	69,106,151
101,156,65	202,185,71	79,116,160
99,154,61	191,180,100	74,113,154
97,152,59	188,177,97	60,102,142
102,148,101	218,198,75	69,144,202
100,146,97	216,198,74	61,137,199
95,143,93	216,198,74	60,138,202
113,150,119	210,193,89	5,9,10
107,147,112	210,191,88	5,9,12
108,148,111	206,189,83	7,8,12
135,156,137	191,170,107	93,155,202
114,133,113	189,170,104	105,162,207
91,114,86	187,168,102	118,170,210
107,134,119	197,180,136	10,14,13
108,136,121	197,183,138	8,14,10
115,143,128	198,184,139	8,14,10
137,160,134	195,187,114	8,8,8
146,166,139	189,182,102	8,8,10
136,155,125	181,175,89	8,8,10
53,82,36	190,182,101	33,74,136
56,88,41	186,179,91	27,72,137
59,92,47	185,180,89	22,70,132
95,117,94	182,168,69	43,91,153
100,119,100	184,166,66	37,88,151
107,120,110	185,170,69	32,87,152
89,108,86	208,195,116	61,122,176
101,119,95	208,196,114	58,119,173
115,133,109	210,198,116	55,118,172
99,145,98	213,199,126	61,122,176
90,136,87	213,200,132	58,119,173
85,133,83	214,203,137	55,118,172
109,145,117	186,196,133	74,146,204
109,149,115	187,197,134	63,138,196
122,162,127	186,196,133	64,140,200
127,148,131	154,174,102	6,10,11
97,116,97	155,173,97	5,9,12
88,111,83	155,173,97	8,9,13
102,131,113	138,149,81	117,175,221
108,139,123	141,150,85	123,174,217
108,140,125	147,156,93	134,182,220
144,167,141	182,163,69	10,15,9
160,180,153	183,164,70	8,15,8
142,161,131	183,167,72	8,15,8
60,89,43	190,193,78	6,7,9
63,95,48	187,188,69	7,7,9
65,98,53	181,182,63	8,8,10
107,129,108	220,206,179	30,76,136
107,124,108	220,206,179	24,72,136
123,134,126	221,207,178	24,69,134
88,110,87	166,154,130	38,90,150
104,124,99	176,162,135	36,87,150
111,129,105	178,164,137	31,85,149
100,146,99	129,114,85	65,126,180
89,137,87	123,108,79	55,120,174
82,130,80	111,97,70	50,117,172
103,143,109	178,164,137	65,126,180
115,155,120	174,160,133	55,120,174
129,169,134	168,152,126	50,117,172
115,139,117	218,199,78	78,149,203
91,115,91	218,200,76	73,145,203
88,113,83	214,199,72	72,147,205
101,130,112	210,193,89	6,10,11
114,145,129	211,192,89	6,10,13
114,146,131	206,189,83	9,10,14
133,153,128	193,173,110	141,195,241
133,151,125	189,171,107	144,193,234
111,130,100	184,169,102	157,203,239
62,91,47	191,176,133	11,16,10
65,96,52	197,182,139	9,16,9
67,100,57	198,185,141	10,17,10
107,126,107	198,190,118	6,7,9
112,126,113	194,187,107	7,7,9
126,137,131	187,181,95	6,6,8
93,115,92	193,182,102	27,76,135
102,122,97	190,182,97	25,73,139
110,128,104	189,182,92	25,70,135
108,143,111	181,165,67	36,88,148
88,126,89	187,169,67	34,85,148
87,127,90	185,170,69	28,82,146
113,150,119	208,193,110	61,122,177
94,134,97	210,195,112	54,119,173
94,136,96	211,196,113	49,116,171
91,128,111	212,200,126	61,122,177
101,135,118	213,201,129	54,119,173
112,145,124	213,200,132	49,116,171
98,133,103	183,194,128	10,11,15
94,127,96	187,197,134	10,9,14
89,122,91	189,199,138	10,9,14
74,112,71	152,170,96	6,10,13
76,114,73	152,170,94	6,10,13
76,114,75	153,172,93	3,8,11
64,108,55	136,149,77	23,23,25
55,102,47	139,150,81	24,25,29
55,104,48	143,154,86	35,36,40
133,170,129	185,166,71	53,142,208
123,162,117	186,168,70	50,142,207
119,156,112	187,169,69	52,144,209
68,111,66	190,190,80	54,134,205
67,108,64	186,184,71	56,135,204
62,104,58	183,181,68	55,134,203
98,137,106	218,206,180	30,71,123
98,133,101	218,207,179	30,71,123
82,116,83	220,206,177	26,67,119
94,131,97	171,159,133	28,78,139
77,115,74	176,163,131	31,82,139
85,128,85	182,167,136	36,85,141
114,151,118	131,115,82	10,14,17
89,130,90	124,109,76	11,12,16
95,138,95	114,99,68	10,11,15
79,113,96	182,167,136	7,11,14
92,125,108	178,163,134	7,11,14
113,144,126	174,158,132	4,9,12
98,133,103	219,200,80	24,24,26
94,127,96	218,199,78	24,25,29
89,122,91	213,198,73	43,47,50
81,119,78	211,193,91	50,139,205
85,123,82	209,190,87	52,141,207
73,111,72	204,187,81	52,141,207
61,106,51	195,175,116	49,133,203
55,102,47	191,172,113	52,132,201
54,103,47	187,171,109	49,132,200
133,170,129	187,172,131	31,71,122
126,165,121	193,178,137	30,70,119
127,166,122	196,183,141	25,65,116
73,116,71	199,191,119	28,77,136
68,109,65	194,186,111	29,78,136
66,108,62	188,181,100	35,82,136
102,139,108	190,179,99	11,15,18
93,128,96	190,182,97	11,12,16
89,122,91	189,182,94	9,10,14
79,117,80	180,164,66	7,11,14
67,105,64	185,167,67	6,10,13
84,127,82	187,171,73	4,9,12
110,147,113	208,193,110	24,24,26
85,126,84	209,194,111	25,26,30
92,135,90	210,195,112	38,42,45
76,111,91	212,200,126	47,136,202
89,122,103	213,201,129	51,140,206
134,165,147	211,198,128	53,140,207
100,135,105	180,191,125	49,133,205
96,129,100	185,195,132	50,133,203
91,124,93	190,200,139	48,131,201
68,105,62	156,174,100	28,68,119
73,110,67	154,172,96	26,66,115
71,108,67	152,171,92	23,63,114
57,100,44	137,150,78	25,74,133
52,97,40	140,151,82	28,74,133
46,93,38	140,151,83	33,78,133
128,164,126	187,167,68	89,151,210
129,168,124	188,169,67	80,142,201
140,179,135	188,170,68	70,135,193
77,119,73	184,181,74	34,91,146
74,113,68	184,182,71	30,89,145
72,114,66	184,182,73	27,86,142
94,130,102	216,204,178	24,85,140
82,117,87	215,204,176	25,85,137
80,113,82	217,203,174	27,87,139
133,166,121	179,163,137	69,131,180
137,170,127	181,166,135	68,130,181
121,159,110	186,171,140	63,124,178
86,121,97	131,115,82	56,130,191
80,116,90	125,109,76	52,131,190
97,129,105	119,104,73	49,129,188
96,132,86	186,171,140	10,10,12
83,120,69	189,174,145	10,10,10
73,107,56	182,166,140	9,9,9
103,134,93	199,199,145	5,7,6
99,130,86	199,197,146	5,7,6
99,132,87	199,196,145	7,5,6
105,136,105	182,187,84	2,6,5
94,123,93	184,189,87	1,5,6
92,121,90	194,196,99	3,4,6
63,97,64	190,182,75	27,39,51
57,91,54	190,179,74	28,41,50
50,85,45	189,177,77	29,39,49
70,101,67	207,193,148	15,23,25
76,108,71	205,189,140	12,22,23
67,99,60	201,183,133	11,22,24
151,182,141	176,155,92	16,27,29
157,189,148	175,153,93	14,25,29
142,180,133	174,154,93	13,24,30
72,108,82	183,165,67	83,149,207
73,109,83	186,168,68	74,138,199
107,141,117	188,170,68	64,130,190
89,125,79	196,177,74	35,92,147
80,114,64	195,176,73	31,90,146
74,108,57	194,175,72	30,89,145
107,138,97	174,177,90	32,95,149
105,138,95	174,178,93	34,97,150
106,139,96	173,178,94	39,102,155
105,136,105	196,195,139	75,139,187
98,124,95	199,196,141	70,132,183
95,122,91	199,196,141	66,127,181
69,100,68	181,187,81	56,131,189
60,91,57	186,189,86	53,132,189
43,78,38	193,195,94	51,132,188
82,113,79	189,181,72	10,10,10
75,107,70	191,178,73	10,10,10
56,88,49	190,179,74	9,9,9
149,184,142	208,191,147	5,7,6
152,189,146	205,189,140	5,7,6
144,187,134	200,182,132	7,5,6
76,112,86	177,158,100	1,5,4
63,97,72	176,157,99	1,5,4
89,123,99	174,155,96	3,4,6
86,122,74	189,171,73	30,42,54
77,114,62	190,172,72	30,43,52
75,112,60	189,172,68	31,41,51
109,139,101	194,175,73	14,24,25
114,146,105	194,175,73	11,23,23
115,147,108	193,174,71	8,22,22
108,138,110	177,180,91	16,27,29
98,129,98	176,180,93	14,25,29
98,129,97	175,181,95	13,24,30
77,107,73	194,194,134	74,142,203
63,93,59	197,195,138	72,138,198
46,78,39	200,195,139	63,129,189
100,129,98	183,185,78	36,92,149
72,102,66	185,186,82	34,94,148
47,79,38	191,191,91	33,90,143
85,137,75	188,180,69	35,100,156
84,135,76	192,180,72	38,101,155
90,139,83	191,180,75	43,105,162
86,118,81	206,189,145	79,145,195
80,112,75	202,185,139	69,135,185
83,117,80	197,179,131	68,128,178
110,130,102	179,159,106	52,127,185
120,143,114	178,158,105	56,132,190
128,155,124	176,157,101	61,137,195
114,154,119	195,177,79	8,8,8
118,160,122	195,177,77	8,8,8
115,157,117	189,172,68	8,8,8
106,146,109	194,175,73	3,7,6
103,144,102	194,175,73	3,7,6
99,141,95	193,174,72	6,6,6
60,100,50	177,180,91	1,5,4
58,101,47	177,181,94	2,6,5
59,104,45	176,182,96	3,4,6
55,92,48	149,143,121	31,43,55
59,94,52	153,147,125	31,44,53
65,100,60	160,153,134	30,43,52
86,121,89	220,210,183	15,25,26
81,117,79	216,206,181	11,23,23
86,123,82	215,204,182	8,22,22
85,134,79	146,147,133	18,29,31
91,139,89	145,146,132	15,26,30
94,137,92	142,143,127	13,24,30
47,98,29	220,188,150	25,69,118
48,99,32	221,189,150	21,68,114
45,96,29	223,191,152	23,67,114
127,156,126	222,204,168	5,7,6
130,159,128	222,206,170	6,8,7
133,162,131	225,209,173	8,10,9
85,135,76	222,209,175	6,8,7
86,136,77	224,211,177	5,9,8
99,146,91	224,211,177	7,7,5
81,112,80	219,212,184	10,21,25
86,117,83	218,211,183	12,23,25
91,125,90	220,213,185	13,23,25
110,130,102	214,205,148	5,5,5
119,142,114	217,208,151	5,5,5
122,148,119	218,209,152	5,7,6
116,156,121	210,196,107	4,6,5
125,165,130	209,195,107	5,7,6
120,162,124	209,197,113	6,6,4
92,135,90	191,191,131	7,7,7
87,130,84	186,188,123	7,7,9
90,134,85	184,187,120	7,9,8
60,100,48	150,144,118	25,71,120
63,106,52	153,147,123	23,69,118
71,116,59	159,153,129	24,72,120
63,100,59	218,206,180	6,8,7
63,98,58	218,206,180	7,9,8
65,100,60	206,196,169	10,10,8
91,128,95	143,146,127	6,8,7
92,128,92	145,148,129	7,9,6
97,135,94	146,147,129	8,8,6
88,137,82	223,191,153	8,19,23
93,141,91	222,190,151	10,21,23
99,142,97	221,189,151	13,23,25
47,100,30	222,206,170	5,5,5
46,99,29	224,208,174	4,6,3
47,100,32	223,207,173	5,7,4
138,167,137	224,211,177	5,7,6
141,172,140	226,213,181	5,7,6
125,154,123	225,212,180	6,6,4
75,125,66	215,210,181	7,7,7
78,128,69	217,210,182	7,7,9
93,140,85	220,213,185	6,8,7
79,114,81	219,208,152	26,72,121
81,116,83	222,211,155	26,72,121
80,116,80	222,211,157	28,76,124
117,142,113	212,198,110	6,8,7
119,145,116	209,198,109	6,8,7
119,145,116	211,199,115	9,9,7
122,159,128	189,190,132	6,8,7
131,171,137	188,190,127	6,8,5
125,165,130	189,189,125	8,8,6
84,128,79	152,145,119	8,19,25
85,128,82	155,148,122	10,24,27
88,132,83	161,153,130	9,23,24
72,112,60	221,207,181	4,4,4
74,117,63	207,195,169	4,6,3
80,125,70	193,182,154	5,7,4
72,107,67	143,146,127	4,6,5
64,98,61	146,149,130	5,7,6
64,98,61	148,149,131	5,7,4
106,143,109	228,195,162	6,6,6
107,143,107	224,191,156	5,7,6
110,148,109	221,188,153	5,7,6
90,141,82	223,207,171	76,146,198
96,144,92	223,207,173	78,148,199
117,160,115	220,204,170	80,148,197
46,99,31	229,216,184	7,8,12
52,105,37	227,214,182	8,9,13
57,108,42	225,212,180	9,10,14
136,165,135	214,209,180	50,106,155
127,158,127	216,209,181	54,110,159
113,142,111	221,214,186	51,107,156
86,129,86	221,210,156	43,130,197
72,118,71	222,210,158	35,127,194
61,107,58	225,213,163	30,122,189
78,143,43	219,204,119	64,149,213
80,144,47	216,204,120	59,147,211
75,139,42	213,200,121	56,145,211
76,143,38	192,193,135	47,115,178
75,142,37	192,193,133	45,110,174
77,143,35	193,193,131	43,108,174
97,135,98	176,153,121	32,97,151
100,140,103	175,152,120	33,94,149
97,137,102	176,153,121	33,92,148
91,114,94	195,172,140	32,97,151
97,120,100	185,162,130	33,94,149
94,119,98	177,154,122	33,92,148
91,128,97	185,196,117	32,97,151
84,124,90	185,194,111	33,94,149
82,119,86	184,194,107	33,92,148
75,115,81	193,178,85	4,8,11
79,119,84	195,180,89	5,9,10
83,123,88	198,183,90	7,11,12
71,108,64	99,88,70	7,7,7
70,107,63	103,91,75	8,10,9
80,115,73	110,99,81	9,9,7
99,141,93	205,191,154	11,17,15
103,144,100	210,194,158	12,18,14
112,153,111	213,197,161	14,18,17
95,138,92	164,139,75	6,7,9
101,147,98	164,139,73	6,6,6
106,155,100	165,140,73	7,7,7
62,108,62	171,172,45	74,144,195
58,104,55	170,169,42	88,156,205
56,105,50	166,167,40	82,150,197
81,146,46	185,161,127	6,7,11
